Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
4bi7,,1.6,,2013,,Kd=26.4uM,,Kd=26.4uM,,,//,4bi6.pdf,(PGA),"Kd=26.4+/-2.6uM,",Ki=87+/-15uM
3wb5,,2.5,,2013,,Kd=26.8uM,,Kd=26.8uM,,,//,3wb4.pdf,(0B4),ligand,is
4gvd,,1.85,,2013,,Kd=26.9uM,,Kd=26.9uM,,,//,4gvc.pdf,(8-mer),ligand,is
4j74,,1.2,,2013,,Kd=26uM,,Kd=26uM,,,,,//,4j74.pdf,(I18)
4j73,,1.44,,2013,,Kd=27.7uM,,Kd=27.7uM,,,//,4j73.pdf,(7-mer),Kd=27.7+/-2.5uM;,incomplete
4jjm,,2.09,,2013,,Kd=27nM,,Kd=27nM,,,,,//,4jjm.pdf,(11-mer)
4igk,,1.75,,2013,,Kd=28.2uM,,Kd=28.2uM,,,//,4ifi.pdf,(7-mer),Kd=28.2+/-2uM,
4k3m,,1.85,,2013,,Kd=281.2uM,,Kd=281.2uM,,//,4k3k.pdf,(5-mer),ligand,is,AcALDLF;
4ht2,,1.45,,2013,,Kd=290nM,,Kd=290nM,,,,//,4ht0.pdf,(V50),Zn-containing
4gng,,1.73,,2013,,Kd=290uM,,Kd=290uM,,,,//,4gne.pdf,(15-mer),Kd
4mmf,,2.7,,2013,,Kd=295nM,,Kd=295nM,,,,//,4mm4.pdf,(29Q),ligand
4hu1,,1.95,,2013,,Kd=29nM,,Kd=29nM,,,,,//,4ht0.pdf,(V13)
4hnn,,2.4,,2013,,Kd=2uM,,Kd=2uM,,,,,,//,4hnn.pdf
4k55,,1.91,,2013,,Kd=3.06uM,,Kd=3.06uM,,,//,4jkw.pdf,(H6P),,
4nk9,,2.57,,2013,,Kd=3.1nM,,Kd=3.1nM,,,,//,4nk9.pdf,(2K5),ligand
4i9c,,3.1,,2013,,Kd=3.1uM,,Kd=3.1uM,,,,//,4i9c.pdf,(5-mer),SDS-PAGE
4f6s,,2.6,,2013,,Kd=3.24uM,,Kd=3.24uM,,,//,4f6s.pdf,(0SQ),compound,7
4efk,,1.7,,2013,,Kd=3.2mM,,Kd=3.2mM,,,,//,4ddh.pdf,(0OC),Kd=3.2+/-0.2
4ifi,,2.2,,2013,,Kd=3.34uM,,Kd=3.34uM,,,//,4ifi.pdf,(6-mer),Kd=3.34+/-0.2uM,
3zdv,,1.41,,2013,,Kd=3.3uM,,Kd=3.3uM,,,,//,3zdv.pdf,(F1A-MMA),ligand
4jfm,,1.02,,2013,,Kd=3.3uM,,Kd=3.3uM,,,,//,4jfi.pdf,(1KZ),Kd=3.3+/-0.5uM
4gne,,1.47,,2013,,Kd=3.4mM,,Kd=3.4mM,,,,//,4gne.pdf,(7-mer),Zn-containing;
3zln,,2.29,,2013,,Kd=3.4nM,,Kd=3.4nM,,,,//,3zk6.pdf,(H0Y),ligand
4j77,,1.76,,2013,,Kd=3.4uM,,Kd=3.4uM,,,,//,4j73.pdf,(6-mer),Kd=3.4+/-0.3uM;
4n7j,,1.67,,2013,,Kd=3.4uM,,Kd=3.4uM,,,,//,4n5d.pdf,(2GQ),The
4n7m,,2.12,,2013,,Kd=3.4uM,,Kd=3.4uM,,,,//,4n5d.pdf,(2GQ),ligand
4ddm,,1.83,,2013,,Kd=3.5mM,,Kd=3.5mM,,,,//,4ddh.pdf,(0HO),Kd=3.5+/-0.04
4gw5,,2.2,,2013,,Kd=3.5uM,,Kd=3.5uM,,,,//,4gw1.pdf,(12-mer),Kd
4kot,,1.55,,2013,,Kd=3.5uM,,Kd=3.5uM,,,,//,4klv.pdf,(CE3),ligand
4ksy,,1.88,,2013,,Kd=3.79nM,,Kd=3.79nM,,,//,4ksy.pdf,(1SY),,
4b60,,1.83,,2013,,Kd=3.7uM,,Kd=3.7uM,,,,//,4b60.pdf,(17-mer),ligand
4kmd,,1.7,,2013,,Kd=3.86uM,,Kd=3.86uM,,,//,4kmd.pdf,(17-mer),Kd,=
4nxv,,2.3,,2013,,Kd=3.8uM,,Kd=3.8uM,,,,//,4nxu.pdf,(GDP),Kd=3.8+/-0.9uM
4fgt,,2,,2013,,Kd=3.92uM,,Kd=3.92uM,,,//,4fgt.pdf,(4-mer),ligand,is
4igq,,2.35,,2013,,Kd=30.1uM,,Kd=30.1uM,,,//,4igo.pdf,(3-mer),,
4g93,,4.2,,2013,,Kd=300uM,,Kd=300uM,,,,//,4g93.pdf,(0YP),
4hs6,,1.53,,2013,,Kd=30nM,,Kd=30nM,,,,,//,4hs6.pdf,(16-mer)
4j81,,1.75,,2013,,Kd=31.9uM,,Kd=31.9uM,,,//,4j73.pdf,(5-mer),Kd=31.9+/-2.6uM,
4nka,,2.19,,2013,,Kd=311.4nM,,Kd=311.4nM,,//,4nka.pdf,(2K7),ligand,is,compound
4i7p,,1.6,,2013,,Kd=317uM,,Kd=317uM,,,,//,4i7j.pdf,(ES3),
4mme,,2.5,,2013,,Kd=318nM,,Kd=318nM,,,,//,4mm4.pdf,(29Q),ligand
4jfe,,2.7,,2013,,Kd=31uM,,Kd=31uM,,,,,//,4jfd.pdf,(10-mer)
4avs,,1.4,,2013,,Kd=322uM,,Kd=322uM,,,,//,4avs.pdf,(N7P),ligand
4eoy,,2.22,,2013,,Kd=326nM,,Kd=326nM,,,,//,4eoy.pdf,(8-mer),Mg-containing
4bh4,,1.9,,2013,,Kd=32mM,,Kd=32mM,,,,,//,4bgw.pdf,(3-mer)
4l6t,,1.86,,2013,,Kd=32nM,,Kd=32nM,,,,,//,4l6t.pdf,(5-mer)
4kp8,,1.8,,2013,,Kd=3330nM,,Kd=3330nM,,,//,4kni.pdf,(E1G),ligand,is
4azi,,1.98,,2013,,Kd=35.56nM,,Kd=35.56nM,,//,4az5.pdf,(OAN),ligand,is,PUGNAc;
2lyb,,,NMR,,2013,,Kd=35uM,Kd=35uM,,,,,,//,2lya.pdf
3wb4,,2.25,,2013,,Kd=36.6uM,,Kd=36.6uM,,,//,3wb4.pdf,(0B3),ligand,is
4k3o,,2,,2013,,Kd=36.7uM,,Kd=36.7uM,,,//,4k3k.pdf,(6-mer),ligand,is
4jfx,,1.95,,2013,,Kd=360nM,,Kd=360nM,,,,//,4jfx.pdf,(12-mer),incomplete
2m0u,,,NMR,,2013,,Kd=365nM,Kd=365nM,,,,,//,2m0u.pdf,(5-mer)
4jfd,,2.46,,2013,,Kd=36uM,,Kd=36uM,,,,,//,4jfd.pdf,(10-mer)
4ge1,,2.15,,2013,,Kd=370nM,,Kd=370nM,,,,//,4ge1.pdf,(TSS),
4k67,,2.7,,2013,,Kd=372uM,,Kd=372uM,,,,//,4k62.pdf,(3-mer),incomplete
4jpy,,2.13,,2013,,Kd=37uM,,Kd=37uM,,,,,//,3tcy.pdf,(PHE)
4kcx,,2,,2013,,Kd=37uM,,Kd=37uM,,,,,//,4kcx.pdf,(1QK)
4mnq,,2.74,,2013,,Kd=37uM,,Kd=37uM,,,,,//,4mnq.pdf,(9-mer)
3zm9,,1.9,,2013,,Kd=38nM,,Kd=38nM,,,,,//,3zm9.pdf,(QMQ)
4j21,,1.93,,2013,,Kd=39nM,,Kd=39nM,,,,,//,3w51.pdf,(AJ6)
4jvb,,1.75,,2013,,Kd=39nM,,Kd=39nM,,,,,//,4jv6.pdf,(1M0)
2ypp,,2.3,,2013,,Kd=39uM,,Kd=39uM,,,,,//,2ypo.pdf,(TYR)
4b8o,,2.08,,2013,,Kd=4.0nM,,Kd=4.0nM,,,,//,2ynr.pdf,(11-mer),ligand
4btm,,2.54,,2013,,Kd=4.1uM,,Kd=4.1uM,,,,//,4btj.pdf,(F8E),Kd
4ej8,,2.35,,2013,,Kd=4.1uM,,Kd=4.1uM,,,,//,4ej8.pdf,(1F1),Kd=4.1+/-1.4uM
2m0o,,,NMR,,2013,,Kd=4.2uM,Kd=4.2uM,,,,,//,2m0o.pdf,(11-mer)
4kod,,2.96,,2013,,Kd=4.37uM,,Kd=4.37uM,,,//,4kln.pdf,(ADP),Kd,=
4jck,,1.15,,2013,,Kd=4.3mM,,Kd=4.3mM,,,,//,4jc1.pdf,(1LL),
4lkf,,1.64,,2013,,Kd=4.3uM,,Kd=4.3uM,,,,//,4lkd.pdf,(4-mer),ligand
4lke,,1.65,,2013,,Kd=4.3uM,,Kd=4.3uM,,,,//,4lkd.pdf,(4-mer),ligand
4blb,,2.8,,2013,,Kd=4.47uM,,Kd=4.47uM,,,//,4blb.pdf,(17-mer),Kd,=
4k19,,2.74,,2013,,Kd=4.4nM,,Kd=4.4nM,,,,//,4k19.pdf,(1OD),ligand
4b9h,,2.1,,2013,,Kd=4.5uM,,Kd=4.5uM,,,,//,4b9h.pdf,(4-mer),ligand
4lkd,,2.31,,2013,,Kd=4.5uM,,Kd=4.5uM,,,,//,4lkd.pdf,(4-mer),ligand
4jwk,,1.87,,2013,,Kd=4.79nM,,Kd=4.79nM,,,//,4jwk.pdf,(CTN),ligand,is
4ipi,,1.75,,2013,,Kd=4.8uM,,Kd=4.8uM,,,,//,4ipi.pdf,(LMR),"Kd=4.8+/-0.1uM,"
4ipn,,2.41,,2013,,Kd=408.7uM,,Kd=408.7uM,,//,4ipn.pdf,(1FT),Kd=408.7+/-9.3uM,,
4kn0,,2.1,,2013,,Kd=40nM,,Kd=40nM,,,,,//,4kmz.pdf,(MTX)
4hfp,,2.4,,2013,,Kd=42nM,,Kd=42nM,,,,,//,4hfp.pdf,(15U)
4gw1,,2.24,,2013,,Kd=430nM,,Kd=430nM,,,,//,4gw1.pdf,(12-mer),Kd
4mm4,,2.89,,2013,,Kd=431nM,,Kd=431nM,,,,//,4mm4.pdf,(8PR),ligand
4gu9,,2.4,,2013,,Kd=43uM,,Kd=43uM,,,,,//,4gu6.pdf,(4GU)
4j82,,1.46,,2013,,Kd=44.2uM,,Kd=44.2uM,,,//,4j73.pdf,(5-mer),Kd=44.2+/-1.6uM,
4gu6,,1.95,,2013,,Kd=44nM,,Kd=44nM,,,,,//,4gu6.pdf,(10N)
4nbn,,1.75,,2013,,Kd=44uM,,Kd=44uM,,,,,//,4n5d.pdf,(2J7)
4gnf,,1.55,,2013,,Kd=450uM,,Kd=450uM,,,,//,4gne.pdf,(15-mer),Kd
4cc2,,1.55,,2013,,Kd=46.5uM,,Kd=46.5uM,,,//,4cc2.pdf,(12-mer),,
4cc7,,1.97,,2013,,Kd=46.5uM,,Kd=46.5uM,,,//,4cc2.pdf,(12-mer);,incomplete,ligand
4ayq,,1.1,,2013,,Kd=47nM,,Kd=47nM,,,,,//,4ayp.pdf,(MVL)
4ijh,,1.5,,2013,,Kd=47uM,,Kd=47uM,,,,,//,4ijh.pdf,(1EJ)
4i7j,,1.67,,2013,,Kd=480uM,,Kd=480uM,,,,//,4i7j.pdf,(BNZ),
4kow,,1.45,,2013,,Kd=49.3uM,,Kd=49.3uM,,,//,4klv.pdf,(CFX),ligand,is
4bea,,2.57,,2013,,Kd=5.0nM,,Kd=5.0nM,,,,//,4bea.pdf,(13-mer),ligand
4dx9,,2.99,,2013,,Kd=5.0uM,,Kd=5.0uM,,,,//,4dx8.pdf,(15-mer),Kd
4bj8,,2.4,,2013,,Kd=5.13nM,,Kd=5.13nM,,,//,4bj8.pdf,(BTN),Kd=5.13+/-2.36nM,
4ddk,,1.75,,2013,,Kd=5.1mM,,Kd=5.1mM,,,,//,4ddh.pdf,(0HN),Kd=5.1+/-0.2
4.00E+70,,1.61,,2013,,Kd=5.26uM,,Kd=5.26uM,,,//,4e70.pdf,(N7I),,
4gxl,,2.02,,2013,,Kd=5.2uM,,Kd=5.2uM,,,,//,4gxl.pdf,(14-mer),Kd(NDP52
4lp6,,2.15,,2013,,Kd=5.36nM,,Kd=5.36nM,,,//,4lp6.pdf,(Q4I),ligand,is
2lsv,,,NMR,,2013,,Kd=5.41uM,Kd=5.41uM,,,,//,2lsv.pdf,(9-mer),ligand
4l1u,,2.42,,2013,,Kd=5.45uM,,Kd=5.45uM,,,//,4l1u.pdf,(13-mer),ligand,is
4j2c,,1.8,,2013,,Kd=5.6uM,,Kd=5.6uM,,,,//,4j2c.pdf,(17-mer),Kd=5.6+/-0.7uM;
4idn,,2.25,,2013,,Kd=5.77uM,,Kd=5.77uM,,,//,4idn.pdf,(GNP),Kd=5.77+/-0.479uM;,Mg-containing
4f7j,,2.6,,2013,,Kd=5.82uM,,Kd=5.82uM,,,//,4f6s.pdf,(0SU),compound,3
4kfq,,2.2,,2013,,Kd=5.86nM,,Kd=5.86nM,,,//,4kfq.pdf,(KFQ),ligand,is
4hmq,,2.1,,2013,,Kd=5.8nM,,Kd=5.8nM,,,,//,4hmo.pdf,(FCE),Kd
4gue,,1.8,,2013,,Kd=5.8uM,,Kd=5.8uM,,,,//,4gue.pdf,(QCT),
4ih7,,2.3,,2013,,Kd=5.8uM,,Kd=5.8uM,,,,//,4ih5.pdf,(1ER),
4jc1,,1.5,,2013,,Kd=50uM,,Kd=50uM,,,,,//,4jc1.pdf,(TDG)
4kn2,,2.6,,2013,,Kd=54nM,,Kd=54nM,,,,,//,4kmz.pdf,(LYA)
4k66,,3,,2013,,Kd=554uM,,Kd=554uM,,,,//,4k62.pdf,(4-mer),incomplete
4ib5,,2.2,,2013,,Kd=559.67nM,,Kd=559.67nM,//,4ib5.pdf,(13-mer),Kd=559.67+/-256.70nM,,,
4k0u,,2.15,,2013,,Kd=55nM,,Kd=55nM,,,,,//,3uym.pdf,(15-mer)
4azb,,2.1,,2013,,Kd=57.69nM,,Kd=57.69nM,,//,4az5.pdf,(OAN),ligand,is,PUGNAc;
4luo,,1.54,,2013,,Kd=580uM,,Kd=580uM,,,,//,4luo.pdf,(1DZ),ligand
4hiq,,1.18,,2013,,Kd=6.2nM,,Kd=6.2nM,,,,//,4hiq.pdf,(16V),Kd1=6.2+/-2.0
4jr0,,1.8,,2013,,Kd=6.3nM,,Kd=6.3nM,,,,//,4jr0.pdf,(6-mer),Kd=6.3+/-0.6nM;
4ezr,,1.9,,2013,,Kd=6.3uM,,Kd=6.3uM,,,,//,4ezo.pdf,(8-mer),Kd=6.3+/-0.3
4ezq,,2,,2013,,Kd=6.3uM,,Kd=6.3uM,,,,//,4ezo.pdf,(9-mer),Kd
4lk6,,2.86,,2013,,Kd=6.3uM,,Kd=6.3uM,,,,//,4ljh.pdf,(GAL-LRD),ligand
4jdf,,1.69,,2013,,Kd=6.4mM,,Kd=6.4mM,,,,//,4jdf.pdf,(SPD),Kd=6.4+/-1.2mM
3vfq,,2.8,,2013,,Kd=6.4uM,,Kd=6.4uM,,,,//,3q6z.pdf,(AR6),"First,Kd1=6.4+/-0.2uM;Second,"
4ezz,,2.05,,2013,,Kd=6.4uM,,Kd=6.4uM,,,,//,4ezo.pdf,(7-mer),Kd=6.4+/-0.6
4k5y,,2.98,,2013,,Kd=6.7nM,,Kd=6.7nM,,,,//,4k5y.pdf,(1Q5),Kd
4n5d,,2.06,,2013,,Kd=607uM,,Kd=607uM,,,,//,4n5d.pdf,(2FQ),ligand
4gny,,1.64,,2013,,Kd=60uM,,Kd=60uM,,,,,//,4gny.pdf,(SDS)
4k63,,3.1,,2013,,Kd=60uM,,Kd=60uM,,,,,//,4k62.pdf,(4-mer)
4jmx,,2.55,,2013,,Kd=62.1nM,,Kd=62.1nM,,,//,4jmx.pdf,(IM2),"Kd=62.1+/-11.2nM,",Different
4ht6,,1.9,,2013,,Kd=620nM,,Kd=620nM,,,,//,4ht6.pdf,(11-mer),Kd
4igr,,2.65,,2013,,Kd=63nM,,Kd=63nM,,,,,//,4igr.pdf,(3ZA)
4j8g,,1.9,,2013,,Kd=64.5uM,,Kd=64.5uM,,,//,4j73.pdf,(11-mer),Kd=64.5+/-5.4uM,
2lya,,,NMR,,2013,,Kd=65uM,Kd=65uM,,,,,,//,2lya.pdf
4nra,,1.85,,2013,,Kd=65uM,,Kd=65uM,,,,,//,4nr9.pdf,(2LW)
4nks,,2.5,,2013,,Kd=67.9nM,,Kd=67.9nM,,,//,4nks.pdf,(2M2),ligand,is
4jkw,,2.01,,2013,,Kd=69.9uM,,Kd=69.9uM,,,//,4jkw.pdf,(IPE),,
4jpx,,1.55,,2013,,Kd=7.0uM,,Kd=7.0uM,,,,//,3tcy.pdf,(PHE),Kd=7.0+/-0.3uM
4h85,,2.1,,2013,,Kd=7.0uM,,Kd=7.0uM,,,,//,4h85.pdf,(HRI),Kd=7.0+/-1.5uM;
4ejl,,2.44,,2013,,Kd=7.2uM,,Kd=7.2uM,,,,//,4ej8.pdf,(IOP),Kd=7.2+/-1.7uM
4ezt,,2,,2013,,Kd=7.4uM,,Kd=7.4uM,,,,//,4ezo.pdf,(9-mer),Kd
4h81,,2.05,,2013,,Kd=7.5uM,,Kd=7.5uM,,,,//,4h81.pdf,(WJ2),Kd=7.5
4b6u,,,NMR,,2013,,Kd=7.7uM,Kd=7.7uM,,,,,//,4b6u.pdf,(M7G)
4cdr,,3.15,,2013,,Kd=7.9uM,,Kd=7.9uM,,,,//,4cdr.pdf,(9-mer),covalent
4c1t,,2.39,,2013,,Kd=70.8nM,,Kd=70.8nM,,,//,4c1t.pdf,(4-mer),,
4lw1,,1.63,,2013,,Kd=710uM,,Kd=710uM,,,,//,4luo.pdf,(1XS),ligand
4jfz,,1.75,,2013,,Kd=71nM,,Kd=71nM,,,,,//,4jfx.pdf,(12-mer)
2mc1,,,NMR,,2013,,Kd=71uM,Kd=71uM,,,,,,//,2mc1.pdf
4cc3,,1.97,,2013,,Kd=72.5uM,,Kd=72.5uM,,,//,4cc2.pdf,(12-mer),,
4i7m,,1.48,,2013,,Kd=72uM,,Kd=72uM,,,,,//,4i7j.pdf,(2LP)
4cgi,,2.07,,2013,,Kd=752uM,,Kd=752uM,,,,//,4ce9.pdf,(NZL),Kd=752+/-158
4ayp,,0.85,,2013,,Kd=755nM,,Kd=755nM,,,,//,4ayp.pdf,(SMD),ligand
2lto,,,NMR,,2013,,Kd=770uM,Kd=770uM,,,,,//,2lto.pdf,(13-mer)
3wdd,,1.18,,2013,,Kd=780nM,,Kd=780nM,,,,//,3wdc.pdf,(7-mer),ligand
4kzq,,2.25,,2013,,Kd=788nM,,Kd=788nM,,,,//,4bs4.pdf,(DFL),Zn-containing
4ih5,,1.9,,2013,,Kd=78uM,,Kd=78uM,,,,,//,4ih5.pdf,(12R)
4azg,,2.4,,2013,,Kd=79.05nM,,Kd=79.05nM,,//,4az5.pdf,(OAN),ligand,is,PUGNAc;
4loo,,1.95,,2013,,Kd=7nM,,Kd=7nM,,,,,,//,4loo.pdf
4ly9,,2.35,,2013,,Kd=7nM,,Kd=7nM,,,,,,//,4ly9.pdf
4his,,1.2,,2013,,Kd=8.1nM,,Kd=8.1nM,,,,//,4hiq.pdf,(3MI),Kd1=8.1+/-0.8
4h7q,,2.1,,2013,,Kd=8.8uM,,Kd=8.8uM,,,,//,4h7q.pdf,(COI),Kd=8.8+/-0.5uM;
4c94,,3,,2013,,Kd=8.9uM,,Kd=8.9uM,,,,//,4c94.pdf,(KXN),Kd1
4c1u,,2,,2013,,Kd=81nM,,Kd=81nM,,,,,//,4c1t.pdf,(3-mer)
4ghi,,1.5,,2013,,Kd=81nM,,Kd=81nM,,,,,//,4ghi.pdf,(0X3)
4kp5,,1.45,,2013,,Kd=833nM,,Kd=833nM,,,,//,4kni.pdf,(E1F),ligand
2m41,,,NMR,,2013,,Kd=8uM,Kd=8uM,,,,,,,//
4h3q,,2.2,,2013,,Kd=8uM,,Kd=8uM,,,,,,//,4h3p.pdf
4iho,,2.8,,2013,,Kd=8uM,,Kd=8uM,,,,,,//,4iho.pdf
4jym,,1.35,,2013,,Kd=9.05uM,,Kd=9.05uM,,,//,4jym.pdf,(KKN),Kd=9.05+/-2.03,uM
4lk7,,1.76,,2013,,Kd=9.1uM,,Kd=9.1uM,,,,//,4ljh.pdf,(2-mer),ligand
4io5,,1.72,,2013,,Kd=9.27uM,,Kd=9.27uM,,,//,4io2.pdf,(ALA),Kd=9.27+/-1.24uM,
4jjq,,1.95,,2013,,Kd=9.4uM,,Kd=9.4uM,,,,//,4jjq.pdf,(10-mer),Kd=9.4+/-2.1uM;
4np9,,1.92,,2013,,Kd=9.4uM,,Kd=9.4uM,,,,//,4np9.pdf,(I3P),Kd=9.4+/-1.4
4mz6,,1.88,,2013,,Kd=9.62uM,,Kd=9.62uM,,,//,4mz6.pdf,(13-mer),Kd,=
2m3m,,,NMR,,2013,,Kd=9.63uM,Kd=9.63uM,,,,//,2m3m.pdf,(11-mer),ligand
4btb,,1.9,,2013,,Kd=9.8uM,,Kd=9.8uM,,,,//,4bt9.pdf,(9-mer),Kd
4i7k,,1.72,,2013,,Kd=905uM,,Kd=905uM,,,,//,4i7j.pdf,(MBN),
3vfj,,2.05,,2013,,Kd=91nM,,Kd=91nM,,,,,//,3vfj.pdf,(7-mer)
4kab,,2.71,,2013,,Kd=93uM,,Kd=93uM,,,,,//,4k8a.pdf,(4KA)
3ueo,,2.6,,2013,,Kd=94uM,,Kd=94uM,,,,,//,3ueo.pdf,(12-mer)
3w0l,,2.92,,2013,,Kd=95nM,,Kd=95nM,,,,,//,3w0l.pdf,(F6R)
4k8a,,2.91,,2013,,Kd=95uM,,Kd=95uM,,,,,//,4k8a.pdf,(K8A)
4l51,,1.9,,2013,,Kd=995uM,,Kd=995uM,,,,//,4l4z.pdf,(HSX),ligand
4ayr,,1.1,,2013,,Kd=99nM,,Kd=99nM,,,,,//,4ayp.pdf,(IFL)
3zjc,,3.15,,2013,,Kd=9uM,,Kd=9uM,,,,,,//,3zjc.pdf
4lkh,,3.1,,2013,,Kd>1.0mM,,Kd>1.0mM,,,,//,4kol.pdf,(SIA-NAG),
4bv2,,3.3,,2013,,Kd>180uM,,Kd>180uM,,,,//,4bv2.pdf,(13-mer),Kd(microscale
4k64,,2.6,,2013,,Kd>1mM,,Kd>1mM,,,,,,//,4k62.pdf
4gj8,,2.5,,2013,,Kd>500uM,,Kd>500uM,,,,//,4gj8.pdf,(0LU/0LW),
4gj9,,2.6,,2013,,Kd>500uM,,Kd>500uM,,,,//,4gj8.pdf,(0M2),"X-ray(R-4),"
4j79,,1.56,,2013,,Kd>800uM,,Kd>800uM,,,,//,4j73.pdf,(6-mer),
2ymt,,1.8,,2013,,Kd~10nM,,Kd~10nM,,,,,//,2ymt.pdf,(9-mer)
4aro,,1.59,,2013,,Kd~160nM,,Kd~160nM,,,,//,4aro.pdf,(IHS),ligand
4l5j,,2.6,,2013,,Kd~1mM,,Kd~1mM,,,,,,//,4l4z.pdf
3zha,,2.55,,2013,,Kd~1uM,,Kd~1uM,,,,,,//,3zha.pdf
4j8s,,1.55,,2013,,Kd~2uM,,Kd~2uM,,,,,,//,4j8s.pdf
2m3o,,,NMR,,2013,,Kd~5uM,Kd~5uM,,,,,,,//
4j24,,2.1,,2013,,Ki<0.05uM,,Ki<0.05uM,,,//,4j24.pdf,(19-mer),incomplete,ligand
4gee,,1.7,,2013,,Ki<1nM,,Ki<1nM,,,,,,//,4gee.pdf
4ggl,,1.69,,2013,,Ki<1nM,,Ki<1nM,,,,,,//,4gee.pdf
4gm8,,2.6,,2013,,Ki<1nM,,Ki<1nM,,,,,,//,4gm3.pdf
4gm3,,3.39,,2013,,Ki<1nM,,Ki<1nM,,,,,,//,4gm3.pdf
4i5h,,1.9,,2013,,Ki<2nM,,Ki<2nM,,,,,,//,4i5h.pdf
4k1b,,2.08,,2013,,Ki=0.003nM,,Ki=0.003nM,,//,4k0y.pdf,(1OC),ligand,is,compound
4gbd,,1.98,,2013,,Ki=0.0048nM,,Ki=0.0048nM,//,4gbd.pdf,(MCF),Zn-containing;,Ki=0.0048+/-0.0005nM,,
4gih,,2,,2013,,Ki=0.0048uM,,Ki=0.0048uM,//,4gfm.pdf,(0X5),,,,
4kb9,,1.29,,2013,,Ki=0.01nM,,Ki=0.01nM,,,//,4kb9.pdf,(G79),ligand,is
4fp1,,1.68,,2013,,Ki=0.027mM,,Ki=0.027mM,,//,4fp1.pdf,(BFM),Ki=0.027+/-0.004mM,,
4gmy,,2.4,,2013,,Ki=0.028uM,,Ki=0.028uM,,//,4gfm.pdf,(0X5),,,
4jk5,,1.55,,2013,,Ki=0.028uM,,Ki=0.028uM,,//,4jk5.pdf,(18-mer),Ki=0.028+/-0.004uM,,
4fxy,,2.8,,2013,,Ki=0.029uM,,Ki=0.029uM,,//,4fxy.pdf,(0W2),ligand,is,compound
4ijq,,2,,2013,,Ki=0.03uM,,Ki=0.03uM,,,//,4ijq.pdf,(SV2),Ki=0.03+/-0.002uM;,Mg-containing
4gd6,,1.53,,2013,,Ki=0.042uM,,Ki=0.042uM,,//,4gd6.pdf,(17K),Ki,=,0.042
4hw2,,2.8,,2013,,Ki=0.055uM,,Ki=0.055uM,,//,4hw2.pdf,(19H),Ki,=,0.055
4lmn,,2.8,,2013,,Ki=0.05nM,,Ki=0.05nM,,,//,4lmn.pdf,(EUI),Ki,=
4jk6,,2.2,,2013,,Ki=0.064uM,,Ki=0.064uM,,//,4jk5.pdf,(18-mer),Ki=0.064+/-0.005uM,,
4gfm,,2.3,,2013,,Ki=0.06uM,,Ki=0.06uM,,,//,4gfm.pdf,(0X2),,
4gs6,,2.2,,2013,,Ki=0.071uM,,Ki=0.071uM,,//,4gs6.pdf,(1FM),Ki,=,0.071
4hra,,3.15,,2013,,Ki=0.08nM,,Ki=0.08nM,,,//,4hra.pdf,(EP6),Ki,0.08
4bny,,1.8,,2013,,Ki=0.08uM,,Ki=0.08uM,,,//,4bnt.pdf,(36I),IC50=,0.08
4hvb,,2.35,,2013,,Ki=0.111nM,,Ki=0.111nM,,//,4hvb.pdf,(19P),Ki,(displacement,fluorescence
4bcm,,2.45,,2013,,Ki=0.123uM,,Ki=0.123uM,,//,4bcf.pdf,(T7Z),ligand,is,compound
4imz,,1.7,,2013,,Ki=0.12uM,,Ki=0.12uM,,,//,4imq.pdf,(4-mer),covalent,complex
4bco,,2.05,,2013,,Ki=0.131uM,,Ki=0.131uM,,//,4bcf.pdf,(T6Q),ligand,is,compound
2yol,,3.2,,2013,,Ki=0.13uM,,Ki=0.13uM,,,//,2yol.pdf,(EBN),ligand,is
3zcz,,2.6,,2013,,Ki=0.17uM,,Ki=0.17uM,,,//,3zcz.pdf,(TFR),ligand,is
4ew3,,1.7,,2013,,Ki=0.18uM,,Ki=0.18uM,,,//,4ew2.pdf,(DXZ),,
4hgc,,1.29,,2013,,Ki=0.1nM,,Ki=0.1nM,,,,//,4hgc.pdf,(14-mer),incomplete
4ivc,,2.35,,2013,,Ki=0.1nM,,Ki=0.1nM,,,,//,4iva.pdf,(1J6),
4m1j,,1.8,,2013,,Ki=0.20nM,,Ki=0.20nM,,,//,4m1j.pdf,(B0S),Ki,=
4isu,,2.3,,2013,,Ki=0.21mM,,Ki=0.21mM,,,//,4isu.pdf,(IKM),Ki=0.21+/-0.02mM,by
4ew2,,1.6,,2013,,Ki=0.21uM,,Ki=0.21uM,,,//,4ew2.pdf,(DXY),,
4gfo,,2.3,,2013,,Ki=0.24uM,,Ki=0.24uM,,,//,4gfm.pdf,(0X2),,
4gql,,1.15,,2013,,Ki=0.26nM,,Ki=0.26nM,,,//,4gql.pdf,(R47),Zn-containing,
4gr0,,1.5,,2013,,Ki=0.28nM,,Ki=0.28nM,,,//,4gql.pdf,(R4B),Zn-containing,
4btx,,2.78,,2013,,Ki=0.29uM,,Ki=0.29uM,,,//,4btw.pdf,(WF8),IC50,=
4hw3,,2.4,,2013,,Ki=0.32uM,,Ki=0.32uM,,,//,4hw2.pdf,(19G),Ki=0.32+/-0.01uM,
